taxon_name,family_common_name,taxon_scientific_name,family_scientific_name,order,population,status
Inland Chestnut Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castanotus clarum,Cinclosomatidae,Passeriformes,Endemic,Least concern
South-western Chestnut Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castanotus fordianum,Cinclosomatidae,Passeriformes,Endemic,Least concern
Eastern Chestnut-breasted Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castaneothorax castaneothorax,Cinclosomatidae,Passeriformes,Endemic,Least concern
Western Chestnut-breasted Quail-thrush,Whipbirds and Wedgebills,Cinclosoma castaneothorax marginatum,Cinclosomatidae,Passeriformes,Endemic,Least concern
Nullarbor Cinnamon Quail-thrush,Whipbirds and Wedgebills,Cinclosoma cinnamomeum alisteri,Cinclosomatidae,Passeriformes,Endemic,Least concern
Southern Cinnamon Quail-thrush,Whipbirds and Wedgebills,Cinclosoma cinnamomeum cinnamomeum,Cinclosomatidae,Passeriformes,Endemic,Least concern
Northern Cinnamon Quail-thrush,Whipbirds and Wedgebills,Cinclosoma cinnamomeum tirariensis,Cinclosomatidae,Passeriformes,Endemic,Least concern
Wet Tropics Eastern Whipbird,Whipbirds and Wedgebills,Psophodes olivaceus lateralis,Psophodidae,Passeriformes,Endemic,Least concern
South-east Eastern Whipbird,Whipbirds and Wedgebills,Psophodes olivaceus olivaceus,Psophodidae,Passeriformes,Endemic,Least concern
Kangaroo Island Western Whipbird,Whipbirds and Wedgebills,Psophodes nigrogularis lashmari,Psophodidae,Passeriformes,Endemic,Near threatened
Mallee Western Whipbird,Whipbirds and Wedgebills,Psophodes nigrogularis leucogaster,Psophodidae,Passeriformes,Endemic,Vulnerable
Western Heath Western Whipbird,Whipbirds and Wedgebills,Psophodes nigrogularis nigrogularis,Psophodidae,Passeriformes,Endemic,Endangered
Western Wheatbelt Whipbird,Whipbirds and Wedgebills,Psophodes nigrogularis oberon,Psophodidae,Passeriformes,Endemic,Least concern
Orange-winged Sittella,Sittellas,Daphoenositta chrysoptera chrysoptera,Neosittidae,Passeriformes,Endemic,Least concern
White-headed Sittella,Sittellas,Daphoenositta chrysoptera leucocephala,Neosittidae,Passeriformes,Endemic,Least concern
White-winged Sittella,Sittellas,Daphoenositta chrysoptera leucoptera,Neosittidae,Passeriformes,Endemic,Least concern
Black-capped Sittella,Sittellas,Daphoenositta chrysoptera pileata,Neosittidae,Passeriformes,Endemic,Least concern
Striated Sittella,Sittellas,Daphoenositta chrysoptera striata,Neosittidae,Passeriformes,Endemic,Least concern
Australian Barred Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina lineata lineata,Campephagidae,Passeriformes,Endemic,Least concern
Mainland Black-faced Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina novaehollandiae melanops,Campephagidae,Passeriformes,Endemic (breeding only),Least concern
Tasmanian Black-faced Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina novaehollandiae novaehollandiae,Campephagidae,Passeriformes,Endemic,Least concern
Pilbara Black-faced Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina novaehollandiae subpallida,Campephagidae,Passeriformes,Endemic,Least concern
Tiwi Islands White-bellied Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina papuensis apsleyi,Campephagidae,Passeriformes,Endemic,Least concern
Eastern White-bellied Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina papuensis artamoides,Campephagidae,Passeriformes,Endemic,Least concern
North-western White-bellied Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina papuensis hypoleuca,Campephagidae,Passeriformes,Endemic,Least concern
Cape York White-bellied Cuckoo-shrike,Cuckoo-shrikes and Trillers,Coracina papuensis oriomo,Campephagidae,Passeriformes,Australian,Least concern
Northern Cicadabird,Cuckoo-shrikes and Trillers,Edolisoma tenuirostris melvillensis,Campephagidae,Passeriformes,Endemic,Least concern
Eastern Cicadabird,Cuckoo-shrikes and Trillers,Edolisoma tenuirostris tenuirostris,Campephagidae,Passeriformes,Endemic (breeding only),Least concern
Eastern Varied Triller,Cuckoo-shrikes and Trillers,Lalage leucomela leucomela,Campephagidae,Passeriformes,Endemic,Least concern
Kimberley Varied Triller,Cuckoo-shrikes and Trillers,Lalage leucomela macrura,Campephagidae,Passeriformes,Endemic,Least concern
Top End Varied Triller,Cuckoo-shrikes and Trillers,Lalage leucomela rufiventris,Campephagidae,Passeriformes,Endemic,Least concern
Cape York Varied Triller,Cuckoo-shrikes and Trillers,Lalage leucomela yorki,Campephagidae,Passeriformes,Australian,Least concern
Eastern Crested Shrike-tit,Shriketits,Falcunculus frontatus frontatus,Falcunculidae,Passeriformes,Endemic,Least concern
Western Crested Shrike-tit,Shriketits,Falcunculus frontatus leucogaster,Falcunculidae,Passeriformes,Endemic,Least concern
Northern Crested Shrike-tit,Shriketits,Falcunculus frontatus whitei,Falcunculidae,Passeriformes,Endemic,Least concern
Southern Crested Bellbird,Australo-Papuan Bellbirds,Oreoica gutturalis gutturalis,Oreoicidae,Passeriformes,Endemic,Least concern
Northern Crested Bellbird,Australo-Papuan Bellbirds,Oreoica gutturalis pallescens,Oreoicidae,Passeriformes,Endemic,Least concern
Tasmanian Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea apatetes,Pachycephalidae,Passeriformes,Endemic,Least concern
Otways-Gippsland Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea bathychroa,Pachycephalidae,Passeriformes,Endemic,Least concern
Glenelg Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea hesperus,Pachycephalidae,Passeriformes,Endemic,Least concern
Northern Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea macphersoniana,Pachycephalidae,Passeriformes,Endemic,Least concern
South-eastern Olive Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala olivacea olivacea,Pachycephalidae,Passeriformes,Endemic,Least concern
Eastern Grey Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala simplex peninsulae,Pachycephalidae,Passeriformes,Endemic,Least concern
Top End Grey Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala simplex simplex,Pachycephalidae,Passeriformes,Endemic,Least concern
North-western Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufiventris falcata,Pachycephalidae,Passeriformes,Endemic,Least concern
Tiwi Islands Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufiventris minor,Pachycephalidae,Passeriformes,Endemic,Least concern
Cape York Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufiventris pallida,Pachycephalidae,Passeriformes,Endemic,Least concern
Southern Rufous Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala rufiventris rufiventris,Pachycephalidae,Passeriformes,Endemic,Least concern
Lord Howe Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis contempta,Pachycephalidae,Passeriformes,Endemic,Near threatened
Western Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis fuliginosa,Pachycephalidae,Passeriformes,Endemic,Least concern
Tasmanian Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis glaucura,Pachycephalidae,Passeriformes,Endemic,Least concern
Eastern Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis pectoralis,Pachycephalidae,Passeriformes,Endemic,Least concern
Norfolk Island Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala pectoralis xanthoprocta,Pachycephalidae,Passeriformes,Endemic,Near threatened
Western Mangrove Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala melanura melanura,Pachycephalidae,Passeriformes,Endemic,Least concern
Eastern Mangrove Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala melanura robusta,Pachycephalidae,Passeriformes,Endemic,Least concern
Papuan Mangrove Golden Whistler,"Whistlers, Shrike-thrushes and allies",Pachycephala melanura spinicauda,Pachycephalidae,Passeriformes,Australian,Least concern
Limmen Bight Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha aelptes,Pachycephalidae,Passeriformes,Endemic,Least concern
Wet Tropics Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha griseata,Pachycephalidae,Passeriformes,Endemic,Least concern
Capricorn Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha gouldii,Pachycephalidae,Passeriformes,Endemic,Least concern
Cape York Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha normani,Pachycephalidae,Passeriformes,Australian,Least concern
North-western Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha parvula,Pachycephalidae,Passeriformes,Endemic,Least concern
Southern Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha rufogaster,Pachycephalidae,Passeriformes,Endemic,Least concern
Bowen Coast Little Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla megarhyncha synaptica,Pachycephalidae,Passeriformes,Endemic,Least concern
North-western Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica brunnea,Pachycephalidae,Passeriformes,Endemic,Least concern
Eastern Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica harmonica,Pachycephalidae,Passeriformes,Endemic,Least concern
Western Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica rufiventris,Pachycephalidae,Passeriformes,Endemic,Least concern
Tasmanian Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica strigata,Pachycephalidae,Passeriformes,Endemic,Least concern
Torresian Grey Shrike-thrush,"Whistlers, Shrike-thrushes and allies",Colluricincla harmonica superciliosa,Pachycephalidae,Passeriformes,Australian,Least concern
North-western Australasian Figbird,Orioles and Figbirds,Sphecotheres vieilloti ashbyi,Oriolidae,Passeriformes,Endemic,Least concern
Cape York Australasian Figbird,Orioles and Figbirds,Sphecotheres vieilloti flaviventris,Oriolidae,Passeriformes,Endemic,Least concern
Eastern Australasian Figbird,Orioles and Figbirds,Sphecotheres vieilloti vieilloti,Oriolidae,Passeriformes,Endemic,Least concern
North-western Olive-backed Oriole,Orioles and Figbirds,Oriolus sagittatus affinis,Oriolidae,Passeriformes,Endemic,Least concern
Cape York Olive-backed Oriole,Orioles and Figbirds,Oriolus sagittatus grisescens,Oriolidae,Passeriformes,Endemic,Least concern
Eastern Olive-backed Oriole,Orioles and Figbirds,Oriolus sagittatus sagittatus,Oriolidae,Passeriformes,Endemic,Least concern
North-western Yellow Oriole,Orioles and Figbirds,Oriolus flavocinctus flavocinctus,Oriolidae,Passeriformes,Endemic,Least concern
Cape York Yellow Oriole,Orioles and Figbirds,Oriolus flavocinctus flavotinctus,Oriolidae,Passeriformes,Endemic,Least concern
Wet Tropics Yellow Oriole,Orioles and Figbirds,Oriolus flavocinctus kingi,Oriolidae,Passeriformes,Endemic,Least concern
Tiwi Islands Yellow Oriole,Orioles and Figbirds,Oriolus flavocinctus tiwi,Oriolidae,Passeriformes,Endemic,Least concern
Eastern Dusky Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cyanopterus cyanopterus,Artamidae,Passeriformes,Endemic,Least concern
South-western Dusky Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cyanopterus perthi,Artamidae,Passeriformes,Endemic,Least concern
South-western Black-faced Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cinereus cinereus,Artamidae,Passeriformes,Endemic,Least concern
Central Queensland Coast Black-faced Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cinereus dealbatus,Artamidae,Passeriformes,Endemic,Least concern
Inland Black-faced Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cinereus melanops,Artamidae,Passeriformes,Endemic,Least concern
Cape York Black-faced Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus cinereus normani,Artamidae,Passeriformes,Endemic,Least concern
Northern Little Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus minor derbyi,Artamidae,Passeriformes,Endemic,Least concern
Western Little Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus minor minor,Artamidae,Passeriformes,Endemic,Least concern
Torresian White-breasted Woodswallow,"Woodswallows, Currawongs, Butcherbirds and Magpie",Artamus leucorynchus leucopygialis,Artamidae,Passeriformes,Australian,Least concern
King Island Black Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera fuliginosa colei,Artamidae,Passeriformes,Endemic,Endangered
Tasmanian Black Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera fuliginosa fuliginosa,Artamidae,Passeriformes,Endemic,Least concern
Flinders Island Black Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera fuliginosa parvior,Artamidae,Passeriformes,Endemic,Least concern
Lord Howe Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina crissalis,Artamidae,Passeriformes,Endemic,Endangered
Eastern Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina graculina,Artamidae,Passeriformes,Endemic,Least concern
Cape York Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina magnirostris,Artamidae,Passeriformes,Endemic,Least concern
South-eastern Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina nebulosa,Artamidae,Passeriformes,Endemic,Least concern
Wet Tropics Pied Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera graculina robinsoni,Artamidae,Passeriformes,Endemic,Least concern
Tasmanian Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor arguta,Artamidae,Passeriformes,Endemic,Least concern
Kangaroo Island Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor halmaturina,Artamidae,Passeriformes,Endemic,Least concern
Eyre Peninsula Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor intermedia,Artamidae,Passeriformes,Endemic,Least concern
Murray Mallee Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor melanoptera,Artamidae,Passeriformes,Endemic,Least concern
South-western Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor plumbea,Artamidae,Passeriformes,Endemic,Least concern
South-eastern Grey Currawong,"Woodswallows, Currawongs, Butcherbirds and Magpie",Strepera versicolor versicolor,Artamidae,Passeriformes,Endemic,Least concern
Papuan Black Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Melloria quoyi alecto,Artamidae,Passeriformes,Australian,Least concern
Cape York Black Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Melloria quoyi jardini,Artamidae,Passeriformes,Endemic,Least concern
North-eastern Black Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Melloria quoyi rufescens,Artamidae,Passeriformes,Endemic,Least concern
Top End Black Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Melloria quoyi spaldingi,Artamidae,Passeriformes,Endemic,Least concern
South-western Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen dorsalis,Artamidae,Passeriformes,Endemic,Least concern
Northern Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen eylandtensis,Artamidae,Passeriformes,Endemic,Least concern
Tasmanian Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen hypoleuca,Artamidae,Passeriformes,Endemic,Least concern
Pilbara Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen longirostris,Artamidae,Passeriformes,Endemic,Least concern
Eyre Peninsula Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen telonocua,Artamidae,Passeriformes,Endemic,Least concern
Eastern Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen terraereginae,Artamidae,Passeriformes,Endemic,Least concern
Coastal New South Wales Australian Magpie,"Woodswallows, Currawongs, Butcherbirds and Magpie",Gymnorhina tibicen tibicen,Artamidae,Passeriformes,Endemic,Least concern
Eastern Pied Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus nigrogularis nigrogularis,Artamidae,Passeriformes,Endemic,Least concern
Western Pied Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus nigrogularis picatus,Artamidae,Passeriformes,Endemic,Least concern
Top End Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus argenteus,Artamidae,Passeriformes,Endemic,Least concern
Tasmanian Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus cinereus,Artamidae,Passeriformes,Endemic,Least concern
South-eastern Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus torquatus,Artamidae,Passeriformes,Endemic,Least concern
Inland Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus leucopterus,Artamidae,Passeriformes,Endemic,Least concern
Kimberley Grey Butcherbird,"Woodswallows, Currawongs, Butcherbirds and Magpie",Cracticus torquatus colletti,Artamidae,Passeriformes,Endemic,Least concern
Australian Torresian Crow,Crows and Ravens,Corvus orru cecilae,Corvidae,Passeriformes,Endemic,Least concern
Papuan Torresian Crow,Crows and Ravens,Corvus orru orru,Corvidae,Passeriformes,Australian,Least concern
New England Forest Raven,Crows and Ravens,Corvus tasmanicus boreus,Corvidae,Passeriformes,Endemic,Least concern
Southern Forest Raven,Crows and Ravens,Corvus tasmanicus tasmanicus,Corvidae,Passeriformes,Endemic,Least concern
Eastern Australian Raven,Crows and Ravens,Corvus coronoides coronoides,Corvidae,Passeriformes,Endemic,Least concern
Western Australian Raven,Crows and Ravens,Corvus coronoides perplexus,Corvidae,Passeriformes,Endemic,Least concern
Papuan Northern Fantail,Fantails,Rhipidura rufiventris gularis,Rhipiduridae,Passeriformes,Australian,Least concern
Australian Northern Fantail,Fantails,Rhipidura rufiventris isura,Rhipiduridae,Passeriformes,Endemic,Least concern
Southern Willie Wagtail,Fantails,Rhipidura leucophrys leucophrys,Rhipiduridae,Passeriformes,Endemic,Least concern
Papuan Willie Wagtail,Fantails,Rhipidura leucophrys melaleuca,Rhipiduridae,Passeriformes,Australian,Least concern
Northern Willie Wagtail,Fantails,Rhipidura leucophrys picata,Rhipiduridae,Passeriformes,Endemic,Least concern
Arafura Rufous Fantail,Fantails,Rhipidura rufifrons dryas,Rhipiduridae,Passeriformes,Endemic,Least concern
North-eastern Rufous Fantail,Fantails,Rhipidura rufifrons intermedia,Rhipiduridae,Passeriformes,Endemic (breeding only),Least concern
Southern Rufous Fantail,Fantails,Rhipidura rufifrons rufifrons,Rhipiduridae,Passeriformes,Endemic (breeding only),Least concern
Inland Grey Fantail,Fantails,Rhipidura fuliginosa albicauda,Rhipiduridae,Passeriformes,Endemic,Least concern
Tasmanian Grey Fantail,Fantails,Rhipidura fuliginosa albiscapa,Rhipiduridae,Passeriformes,Endemic,Least concern
South-eastern Grey Fantail,Fantails,Rhipidura fuliginosa alisteri,Rhipiduridae,Passeriformes,Endemic,Least concern
North-eastern Grey Fantail,Fantails,Rhipidura fuliginosa keasti,Rhipiduridae,Passeriformes,Endemic,Least concern
Norfolk Island Grey Fantail,Fantails,Rhipidura fuliginosa pelzelni,Rhipiduridae,Passeriformes,Endemic,Near threatened
South-western Grey Fantail,Fantails,Rhipidura fuliginosa preissi,Rhipiduridae,Passeriformes,Endemic,Least concern
North-western Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula concinna,Monarchidae,Passeriformes,Endemic,Least concern
Cape York Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula okyri,Monarchidae,Passeriformes,Endemic,Least concern
South-eastern Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula rubecula,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Eastern Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula yorki,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Papuan Leaden Flycatcher,Monarch and Flycatchers,Myiagra rubecula papuana,Monarchidae,Passeriformes,Australian,Least concern
Torresian Broad-billed Flycatcher,Monarch and Flycatchers,Myiagra ruficollis mimikae,Monarchidae,Passeriformes,Australian,Least concern
North-western Shining Flycatcher,Monarch and Flycatchers,Myiagra alecto melvillensis,Monarchidae,Passeriformes,Endemic,Least concern
Eastern Shining Flycatcher,Monarch and Flycatchers,Myiagra alecto wardelli,Monarchidae,Passeriformes,Australian,Least concern
Southern Restless Flycatcher,Monarch and Flycatchers,Myiagra inquieta inquieta,Monarchidae,Passeriformes,Endemic,Least concern
Northern Restless Flycatcher,Monarch and Flycatchers,Myiagra inquieta nana,Monarchidae,Passeriformes,Australian,Least concern
Cape York Frilled Monarch,Monarch and Flycatchers,Arses telescopthalmus lorealis,Monarchidae,Passeriformes,Endemic,Least concern
Southern Pied Monarch,Monarch and Flycatchers,Arses kaupi kaupi,Monarchidae,Passeriformes,Endemic,Least concern
Northern Pied Monarch,Monarch and Flycatchers,Arses kaupi terraereginae,Monarchidae,Passeriformes,Endemic,Least concern
Southern Magpie-lark,Monarch and Flycatchers,Grallina cyanoleuca cyanoleuca,Monarchidae,Passeriformes,Endemic,Least concern
Northern Magpie-lark,Monarch and Flycatchers,Grallina cyanoleuca neglecta,Monarchidae,Passeriformes,Australian,Least concern
Cape York Spectacled Monarch,Monarch and Flycatchers,Symposiarchus trivirgatus albiventris,Monarchidae,Passeriformes,Endemic,Least concern
Southern Spectacled Monarch,Monarch and Flycatchers,Symposiarchus trivirgatus gouldii,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Wet Tropics Spectacled Monarch,Monarch and Flycatchers,Symposiarchus trivirgatus melanorrhous,Monarchidae,Passeriformes,Endemic,Least concern
Australian Black-winged Monarch,Monarch and Flycatchers,Monarcha frater canescens,Monarchidae,Passeriformes,Endemic (breeding only),Least concern
Cape York Yellow-breasted Boatbill,Boatbills,Machaerirhynchus flaviventer flaviventer,Machaerirhynchidae,Passeriformes,Endemic,Least concern
Wet Tropics Yellow-breasted Boatbill,Boatbills,Machaerirhynchus flaviventer secundus,Machaerirhynchidae,Passeriformes,Endemic,Least concern
Eastern White-winged Chough,Chough and Apostlebird,Corcorax melanorhamphos melanorhamphos,Corcoracidae,Passeriformes,Endemic,Least concern
South Australian White-winged Chough,Chough and Apostlebird,Corcorax melanorhamphos whiteae,Corcoracidae,Passeriformes,Endemic,Least concern
Southern Apostlebird,Chough and Apostlebird,Struthidea cinerea cinerea,Corcoracidae,Passeriformes,Endemic,Least concern
Northern Apostlebird,Chough and Apostlebird,Struthidea cinerea dalyi,Corcoracidae,Passeriformes,Endemic,Least concern
North-eastern Spangled Drongo,Drongos,Dicrurus bracteatus atrabectus,Dicruridae,Passeriformes,Endemic (breeding only),Least concern
North-western Spangled Drongo,Drongos,Dicrurus bracteatus baileyi,Dicruridae,Passeriformes,Endemic,Least concern
Southern Spangled Drongo,Drongos,Dicrurus bracteatus bracteatus,Dicruridae,Passeriformes,Endemic,Least concern
Cape York Trumpet Manucode,Birds of Paradise,Phonygammus keraudrenii gouldii,Paradisaeidae,Passeriformes,Endemic,Least concern
Papuan Trumpet Manucode,Birds of Paradise,Phonygammus keraudrenii jamesii,Paradisaeidae,Passeriformes,Vagrant,Vagrant
Australian Magnificent Riflebird,Birds of Paradise,Lophorina magnificus alberti,Paradisaeidae,Passeriformes,Endemic,Least concern
Australian Yellow-legged Flycatcher,Australian Robins,Kempiella griseoceps kempi,Petroicidae,Passeriformes,Endemic,Least concern
North-central Lemon-bellied Flycatcher,Australian Robins,Microeca flavigaster flavigaster,Petroicidae,Passeriformes,Endemic,Least concern
Torresian Lemon-bellied Flycatcher,Australian Robins,Microeca flavigaster flavissima,Petroicidae,Passeriformes,Australian,Least concern
South-eastern Lemon-bellied Flycatcher,Australian Robins,Microeca flavigaster laetissima,Petroicidae,Passeriformes,Endemic,Least concern
Western Lemon-bellied Flycatcher,Australian Robins,Microeca flavigaster tormenti,Petroicidae,Passeriformes,Endemic,Least concern
Southern Jacky Winter,Australian Robins,Microeca fascinans assimilis,Petroicidae,Passeriformes,Endemic,Least concern
Eastern Jacky Winter,Australian Robins,Microeca fascinans fascinans,Petroicidae,Passeriformes,Endemic,Least concern
Northern Jacky Winter,Australian Robins,Microeca fascinans pallida,Petroicidae,Passeriformes,Endemic,Least concern
Mainland Pink Robin,Australian Robins,Petroica rodinogaster inexpectata,Petroicidae,Passeriformes,Endemic,Least concern
Tasmanian Pink Robin,Australian Robins,Petroica rodinogaster rodinogaster,Petroicidae,Passeriformes,Endemic,Least concern
Eastern Scarlet Robin,Australian Robins,Petroica multicolor boodang,Petroicidae,Passeriformes,Endemic,Least concern
South-western Scarlet Robin,Australian Robins,Petroica multicolor campbelli,Petroicidae,Passeriformes,Endemic,Least concern
Tasmanian Scarlet Robin,Australian Robins,Petroica multicolor leggii,Petroicidae,Passeriformes,Endemic,Least concern
Norfolk Island Scarlet Robin,Australian Robins,Petroica multicolor multicolor,Petroicidae,Passeriformes,Endemic,Endangered
Australian Northern Scrub-robin,Australian Robins,Drymodes superciliaris superciliaris,Petroicidae,Passeriformes,Endemic,Least concern
Australian Grey-headed Robin,Australian Robins,Heteromyias albispecularis cinereifrons,Petroicidae,Passeriformes,Endemic,Least concern
South-eastern Yellow Robin,Australian Robins,Eopsaltria australis australis,Petroicidae,Passeriformes,Endemic,Least concern
North-eastern Yellow Robin,Australian Robins,Eopsaltria australis chrysorrhoa,Petroicidae,Passeriformes,Endemic,Least concern
South-western Yellow Robin,Australian Robins,Eopsaltria griseogularis griseogularis,Petroicidae,Passeriformes,Endemic,Least concern
Eyre Peninsula Yellow Robin,Australian Robins,Eopsaltria griseogularis rosinae,Petroicidae,Passeriformes,Endemic,Least concern
Australian White-faced Robin,Australian Robins,Tregellasia leucops albigularis,Petroicidae,Passeriformes,Endemic,Least concern
Southern Pale-yellow Robin,Australian Robins,Tregellasia capito capito,Petroicidae,Passeriformes,Endemic,Least concern
Northern Pale-yellow Robin,Australian Robins,Tregellasia capito nana,Petroicidae,Passeriformes,Endemic,Least concern
South-eastern Hooded Robin,Australian Robins,Melanodryas cucullata cucullata,Petroicidae,Passeriformes,Endemic,Near threatened
Tiwi Islands Hooded Robin,Australian Robins,Melanodryas cucullata melvillensis,Petroicidae,Passeriformes,Endemic,Critically Endangered (Possibly Extinct)
Northern Hooded Robin,Australian Robins,Melanodryas cucullata picata,Petroicidae,Passeriformes,Endemic,Least concern
Western Hooded Robin,Australian Robins,Melanodryas cucullata westralensis,Petroicidae,Passeriformes,Endemic,Least concern
King Island Dusky Robin,Australian Robins,Melanodryas vittata kingi,Petroicidae,Passeriformes,Endemic,Least concern
Tasmanian Dusky Robin,Australian Robins,Melanodryas vittata vittata,Petroicidae,Passeriformes,Endemic,Least concern
Top End Mangrove Robin,Australian Robins,Peneothello pulverulenta alligator,Petroicidae,Passeriformes,Endemic,Least concern
Western Mangrove Robin,Australian Robins,Peneothello pulverulenta cinereiceps,Petroicidae,Passeriformes,Endemic,Least concern
Eastern Mangrove Robin,Australian Robins,Peneothello pulverulenta leucura,Petroicidae,Passeriformes,Australian,Least concern
Papuan Mangrove Robin,Australian Robins,Peneothello pulverulenta pulverulenta,Petroicidae,Passeriformes,Australian,Not assessed
